,Exporter,Importer,Exporter_region,Import_region,Weight
11350,Saudi Arabia,Burkina Faso,Northern Africa and Western Asia,Sub-Saharan Africa,0.008
11351,Madagascar,Vietnam,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),0.008
11352,Honduras,Spain,Latin America and the Caribbean,Europe,0.008
11353,Luxembourg,Canada,Europe,Northern America,0.008
11354,Jordan,Ireland,Northern Africa and Western Asia,Europe,0.008
11355,Bulgaria,Honduras,Europe,Latin America and the Caribbean,0.008
11356,Barbados,Slovakia,Latin America and the Caribbean,Europe,0.008
11357,Austria,Senegal,Europe,Sub-Saharan Africa,0.008
11358,Nepal,Guatemala,Central and Southern Asia,Latin America and the Caribbean,0.008
11359,Japan,Tajikistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,0.008
11360,Peru,Bermuda,Latin America and the Caribbean,Northern America,0.008
11361,Malawi,Slovenia,Sub-Saharan Africa,Europe,0.008
11362,Albania,Mauritius,Europe,Sub-Saharan Africa,0.008
11363,Kenya,Fiji,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),0.008
11364,Slovenia,United Arab Emirates,Europe,Northern Africa and Western Asia,0.008
11365,Saudi Arabia,Norway,Northern Africa and Western Asia,Europe,0.008
11366,Curacao,Saint Kitts and Nevis,Latin America and the Caribbean,Latin America and the Caribbean,0.008
11367,"China, Hong Kong SAR",Faeroe Islands,China,Europe,0.008
11368,Sierra Leone,Bosnia Herzegovina,Sub-Saharan Africa,Europe,0.008
11369,Dominica,Seychelles,Latin America and the Caribbean,Sub-Saharan Africa,0.00792
11370,Singapore,Bahamas,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,0.007908
11371,Chile,Armenia,Latin America and the Caribbean,Northern Africa and Western Asia,0.0078000000000000005
11372,Bosnia Herzegovina,Seychelles,Europe,Sub-Saharan Africa,0.0078
11373,Ecuador,Lebanon,Latin America and the Caribbean,Northern Africa and Western Asia,0.00776
11374,Bolivia,Lebanon,Latin America and the Caribbean,Northern Africa and Western Asia,0.00776
11375,New Zealand,Finland,Australia and New Zealand,Europe,0.007681
11376,Slovakia,Antigua and Barbuda,Europe,Latin America and the Caribbean,0.00768
11377,Iraq,"Korea, Republic",Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.00762
11378,Malaysia,Honduras,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,0.00759
11379,Philippines,Namibia,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,0.00736
11380,Ukraine,"Korea, Republic",Europe,Eastern and South-Eastern Asia (excl. China),0.0073
11381,Bangladesh,Zambia,Central and Southern Asia,Sub-Saharan Africa,0.00722
